Sub-Model,Company Name,Email (verify - best guess),Website (verify TLD),LinkedIn,Who To Reach Out To (Title - Name)
B - Financing,Snafu Records,licensing@snafurecords.com,snafurecords.com,linkedin.com/company/snafu-records,"Catalog A&R Manager & Business Developer - Laura Monzonis Molina
CEO - Ankit Desai
Senior A&R Manager - Martin Jareman"
B - Financing,Too Lost,support@toolost.com,toolost.com,linkedin.com/company/too-lost,"CEO - Greg Hirschhorn
Chief Investment Officer (catalog/financing) - Jay Moore
[find] Business Development lead"
B - Financing,VerseOne,info@verseone.net,verseone.net,linkedin.com/company/verseone,"[find] Head of Artist Funding / Business Development
[find] Founder / Managing Director"
B - Financing,Amuse,support@amuse.io,amuse.io,linkedin.com/company/amuse-io,"[find] Head of Artist Relations / Partnerships
[find] Head of Fast Forward (advances)"
B - Financing,Symphonic Distribution,funding@symphonic.com,symphonic.com,linkedin.com/company/symphonic-distribution,"[find] A&R / Label Relations lead
[find] Symphonic NEXT (catalog/financing) lead"
B - Financing,Octiive (+ Sound Royalties),support@octiive.com,octiive.com,linkedin.com/company/octiive,"[find] Business Development (Sound Royalties pipeline)
[find] Founder / President"
B - Financing,Pipeline (Jamen Capital),info@pipeline.media,pipeline.media,linkedin.com/company/pipeline-media,"Co-founder & Executive Chair - Matt Spetzler
[find] Head of Origination / Business Development"
B - Financing,Connect Music,info@connectmusic.com,connectmusic.com,linkedin.com/company/connect-music-group,"CEO - George Monger
Director of Sales - Kedrick Smith"
B - Financing,Royalty Advance Funding,parviz@royaltyadvance.com,royaltyadvance.com,linkedin.com/company/royalty-advance-funding,"Lead - Parviz (310-275-3636)"
B - Financing,LabelWorx (Elevate),info@labelworx.com,labelworx.com,linkedin.com/company/labelworx,"[find] Senior Strategist / Elevate lead
[find] A&R / Label Partnerships"
B - Financing,HolaTune,info@holatune.com,holatune.com,linkedin.com/company/holatune,"[find] Head of Artist Services / Business Development
[find] Founder / Managing Director"
B - Financing,Exceed Talent Capital,info@exceedtc.com,exceedtc.com,linkedin.com/company/exceed-talent-capital,"[find] Business Development / Investor Relations
[find] President / CEO"
B - Financing,Unchained Music,hello@unchainedmusic.io,unchainedmusic.io,linkedin.com/company/unchained-music,"[find] Artist Funding / Partnerships lead
[find] Founder / CEO"
