Category,Company,Website,Verified,Deal Types,Min Catalog/Artist Size,Genres/Specialty,Key Execs,Status/Closing,Broker-Friendly,Notes
Buyout/Acquisition,Duetti,duetti.com,Live-verified,Master & partial buyouts + services,Very small (~$1k+/mo earnings),"All; hip-hop, Latin, internet","Lior Tibon (COO), Christopher Nolte",Active,Yes,"$635M raised since 2022; $200M Jan 2026; 1,100+ artists in 40+ countries; #1 indie-friendly"
Buyout/Acquisition,HarbourView Equity Partners,harbourviewep.com,Carried-over,Pub + masters,Mid+ ($1M+),"Hip-hop, R&B, reggaeton, regional Mexican","Sherrese Clarke Soares (CEO), Caroline Yim",Active,Yes,"~$630M fund; T-Pain, Nelly, Bruno Mars pub; Stefflon Don Dec 2025"
Buyout/Acquisition,Influence Media Partners,influencemediapartners.com,Carried-over,Pub + masters,Mid+ ($5M+),"Hip-hop, pop, contemporary","Rene McLean, Lylette Pizarro, Lynn Hazan",Active,Maybe,"$360M ABS Jan 2025; DJ Khaled JV; BlackRock + Warner; SLANG label"
Buyout/Acquisition,Primary Wave,primarywave.com,Live-verified,Pub + masters + brand IP + admin,Mid-large,Heritage + contemporary,"Larry Mestel (CEO), Justin Shukat, Marc Caruso",Active (acquiring Kobalt - closes Q3 2026),Maybe,Brookfield partner
Buyout/Acquisition,Litmus Music,litmusmusic.com,Live-verified,Buyouts,Mid-large,"Pop, hip-hop, country, Latin","Hank Forsyth, Dan McCarroll",Active,Maybe,"Carlyle-backed; bought Opus Music Sept 2024 (Juice WRLD, Maluma, Ozuna, Rauw Alejandro); Katy Perry, Keith Urban, Randy Newman"
Buyout/Acquisition,Iconoclast,iconoclasts.cc,Carried-over,Pub + masters + NIL,Mid+,Diverse (hip-hop friendly),Olivier Chastan,In sale talks (~$500M),Maybe,"Eve, Diplo/Mad Decent, Murder Inc. masters"
Buyout/Acquisition,Iconic Artists Group,iconicartistsgroup.com,Carried-over,Buyouts + partnerships,Heritage,Heritage rock/pop,Irving Azoff,Active,No,"Beach Boys, Crosby; not indie"
Buyout/Acquisition,Shamrock Capital,shamrockcap.com,Carried-over,PE buyouts,Large,Music + film/TV rights,"Patrick Russo, Jason Sklar",Active,No (advisors only),Institutional; held Taylor Swift old masters
Buyout/Acquisition,Concord,concord.com,Live-verified,Pub + masters + label + distribution,Mid-large,All,"Bob Valentine (CEO), Steve Salm",Merging with BMG - closes H2 2026,Maybe,Owns Round Hill + Stem; Victor Victor hip-hop JV
Buyout/Acquisition,Reservoir Media (RSVR),reservoir-media.com,Live-verified,Pub + masters + admin,Mid+,"Hip-hop strong (Tommy Boy, Chrysalis), all","Golnar Khosrowshahi (CEO), Rell Lafargue",Active takeover process (Irenic ~$1.2B),Maybe,Best indie hip-hop pub at scale
Buyout/Acquisition,Anthem Entertainment,anthem.music,Live-verified,Pub + masters,Mid,"Pop, rock, country",Helen Murphy (CEO),Up for sale ($500-600M); still acquiring,Maybe,Mark Holman/Morgan Wallen Oct 2025
Buyout/Acquisition,Spirit Music Group / Lyric Capital,spiritmusicgroup.com,Carried-over,Pub + masters; hybrid,Mid-large,All; country strong,"Jon Singer, Ross Cameron",Active,No (brokers only),~$1B Weeknd deal Dec 2025; NO unsolicited submissions
Buyout/Acquisition,Chord Music Partners,chordmusic.com,Carried-over,Buyouts,Large only,"Pop, hip-hop","Matt Pincus, Dylan Pincus",Active,No,Institutional (Dundee + UMG + Apollo)
Buyout/Acquisition,Pophouse Entertainment,pophouse.se,Carried-over,Buyouts incl NIL/legacy,Large/legacy,"EDM heritage, legacy pop","Per Sundin, Bjorn Ulvaeus",Active,Maybe,"$1.3B raised; Tina Turner Mar 2026, KISS, Swedish House Mafia"
Buyout/Acquisition,Avex Music Group (US),avex.com,Carried-over,Pub buyouts + admin,Mid,"Pop, hip-hop, dance","Naoki Osada, Jenni Schwarz",Active,Maybe,$100M pub fund Apr 2026; Bruno Mars admin
Buyout/Acquisition,BEAT Music Fund (Armada),beatmusicfund.com,Live-verified,Buyouts (EDM only),Mid+,EDM only,Maykel Piron (CEO); Susanne Hazendonk (Head of Catalog),Active,Yes,$100M target (Pinnacle); ~1 deal/month; most active EDM-only buyer
Buyout/Acquisition,Create Music Group,createmusicgroup.com,Live-verified,Buyouts + label deals + services + advances,Small-mid,"Pop, EDM, internet, hip-hop","Jonathan Strauss (CEO), Alexandre Williams",Active,Yes,"$450M raise/$2.2B val; deadmau5 $55M, Monstercat, !K7, Cr2"
Buyout/Acquisition,Kilometre Music Group,kilomg.com,Carried-over,Pub buyouts,Mid,"Pop, country, hip-hop, electronic","Michael McCarty, David Quilico, Charlie Andrews",Active,Maybe,"~$130M+ deployed; Murda Beatz, Bryson Tiller"
Buyout/Acquisition,EMPIRE,empi.re,Carried-over,Distribution + label + pub + select buyouts,Small-mid,"Hip-hop, R&B, EDM (Dirtybird), Africa, Latin, country","Ghazi Shami, Tina Davis",Active,Yes,15 yrs independent; Shaboozey; highly indie-friendly
Buyout/Acquisition,Cinq Music / GoDigital,cinqmusic.com,Carried-over,Distribution + label + pub + acquisitions,Mid,"Hip-hop, Latin (regional Mexican), country","Jason Peterson, Barry Daffurn",Active,Maybe,$250M fund; GoDigital $115M Latin (Marc Anthony Dec 2025)
Buyout/Acquisition,Hallwood Media,hallwoodmedia.com,Carried-over,Producer mgmt + select acquisitions + JVs,Producer focus,"Hip-hop, pop, producer-side",Neil Jacobson,Active,Maybe,9th St JV (Rich Amiri); Jeff Bhasker points
Buyout/Acquisition,gamma.,gamma.com,Carried-over,Distribution + label + catalog,Mid (invite),"Hip-hop, all (premium)","Larry Jackson, Ike Youssef",Active,Maybe,~$1B raised (Eldridge/Apple/A24); owns Vydia
Buyout/Acquisition,Exceleration Music,excelerationmusic.com,Carried-over,Indie label investments + acquisitions,Indie label,All,"Glen Barros, Charles Caldas, Dave Hansen",Active,Maybe,Acquired Cooking Vinyl June 2025
Buyout/Acquisition,Connect Music,connectmusic.com,Live-verified,Indie financing + catalog acquisitions,Mid,All,George Monger (Founder/President/CEO),Active,Yes,"$80M Feb 2026 (Rockmont + Variant); Memphis, Black-owned; new"
Buyout/Acquisition,Seeker Music Group,seekermusic.com,Live-verified,Pub + masters + records,Mid,Songwriter-driven,Evan Bogart (Founder/CEO),Active,Maybe,$267M ABS Mar 2026 (M&G); 19000+ copyrights; bought Nu Shooz
Buyout/Acquisition,Domain Capital Group,domaincapital.com,Carried-over,Buyouts,Mid+,Country/Nashville,-,Active,Maybe,Co-acquired Miranda Lambert catalog w/ Sony Pub Jan 2026
Buyout/Acquisition,BMG,bmg.com,Live-verified,Pub + masters,Mid+,All; country strong,Thomas Coesfeld (CEO),Merging with Concord - closes H2 2026,Maybe,Still acquiring independently for now
Buyout/Acquisition,GoDigital Media Group,godigitalmg.com,Carried-over,Catalog acquisitions,Mid+,"Latin, hip-hop",-,Active,Maybe,Owns Cinq; $115M Latin play Dec 2025
Royalty Advance/Financing,beatBread,beatbread.com,Carried-over,Advances (no rights transfer),$1k-$10M+,All distributors,Peter Sinclair (CEO),Active,Yes,Smallest minimums; 12+ distributor integrations; AI underwriting
Royalty Advance/Financing,Sound Royalties,soundroyalties.com,Live-verified,Royalty financing + catalog sales support,$3k-$20M+,"Songwriters, producers, indie labels",Alex Heiche (CEO),Active,Yes,$135M funded 2025 (record); expanded to YouTube + TV
