#,Company Name,Website (verify TLD),LinkedIn,Deal Type,Min Artist Size,Genres/Specialty,Key Contacts (find on LinkedIn),Notes / Why It Fits
1,Too Lost,toolost.com,linkedin.com/company/too-lost,Royalty advances up to $1M (keep masters; powered by chordCash),Low,Hip-hop / Afrobeats / internet,Greg Hirschhorn (CEO); Jay Moore (CIO - catalog investment),"Distribution + advances. Funding in as little as 24hrs. Hired Jay Moore (May 2026) for catalog investment + artist financing."
2,VerseOne,verseone.net,linkedin.com/company/verseone,Royalty advances $1k-$1M (keep copyrights),Low,All; strong Africa,Business Development / Artist Funding team,"Advances $1k-$1M depending on contract/catalog. For artists who want to stay truly independent. chordCash-powered."
3,Amuse (Fast Forward),amuse.io,linkedin.com/company/amuse-io,Automated royalty advances from $10 (keep rights),Very low (from $10),All; DIY / emerging,Artist Relations / Partnerships team,"Sweden-based. 50,000+ advances, $10M+ paid out. Uses 35B+ data points. Now includes YouTube royalties."
4,Symphonic (Funding / NEXT),symphonic.com,linkedin.com/company/symphonic-distribution,Royalty advances (no ownership transfer; auto-recoup),Open,All; indie / dance / hip-hop,A&R / Label Relations / Symphonic NEXT team,"Advances after catalog delivered, directly or via financing partners (incl. Snafu). No personal guarantees."
5,Octiive (+ Sound Royalties),octiive.com,linkedin.com/company/octiive,Royalty advances $5k-$20M+ (keep masters),Low,All,Business Development team,"Distributor-fronted Sound Royalties pipeline. Retain full ownership; advance on future earnings."
6,Pipeline (Jamen Capital),pipeline.media,linkedin.com/company/pipeline-media,B2B financing for artists / labels / rights-holders,Mid,All; indie companies,Matt Spetzler (Co-founder/Exec Chair - ex-Francisco Partners),"$200M-backed platform launched Jan 2026. Merlin pact. Acquired Clarty valuation firm. Ex-Kobalt leadership."
7,Connect Music,connectmusic.com,linkedin.com/company/connect-music-group,Indie artist financing + catalog acquisitions,Mid,All,George Monger (CEO); Kedrick Smith (Dir of Sales),"$80M raised Feb 2026 (Rockmont + Variant). Memphis-based, Black-owned. New entrant, hungry for deal flow."
8,Royalty Advance Funding,royaltyadvance.com,linkedin.com/company/royalty-advance-funding,Cash advance vs. temporary royalty assignment,Low,All,"Parviz (lead) - 310-275-3636; parviz@royaltyadvance.com","Operating since 1988. Temporary assignment of future royalties; you keep ownership. Family-style operation."
9,LabelWorx (Elevate),labelworx.com,linkedin.com/company/labelworx,Royalty advances + 12-mo growth plan,Indie labels,Electronic / dance labels,Senior LabelWorx strategist / A&R,"UK-based. Elevate launched May 2026 with $10M earmarked for advances + promo + ops for indie electronic labels."
10,HolaTune (Advance),holatune.com,linkedin.com/company/holatune,Royalty prepayment / advance (data-driven),Low,All; Europe,Artist Services / Business Development team,"Europe-based independent distributor + artist services. Data-driven algorithm checks streaming for advance eligibility."
11,Exceed Talent Capital,exceedtc.com,linkedin.com/company/exceed-talent-capital,TalentShares - investors fund talent (keep control),Emerging,All,Business Development / Investor Relations,"Raised $8M seed. Talent keeps control while raising funds. SEC-registered TalentShares model. Bonus 11th option."
12,Unchained Music,unchainedmusic.io,linkedin.com/company/unchained-music,Royalty advances + label services + forecasting,Low,All; indie,Artist Funding / Partnerships team,"Advances + label services + royalty forecasting for labels/publishers. Bonus 12th option."
