Sub-Model,Company Name,Website (verify TLD),LinkedIn,Deal Type,Min Artist Size,Genres/Specialty,Broker-Friendly,Key Contacts (find on LinkedIn),Notes / Why It Fits
A - Services Label,Broke Records,broke.nyc,linkedin.com/company/broke-records,License / distribution / JV deals (keep ownership),Small-mid,Hip-hop / electronic / pop / country,Yes,"Andre Benz (Co-founder/CEO); Brandon De Oliveira (Co-founder); Edward ""Q"" Brickell (Head of Legal Affairs)","SEED. Under Create Music Group. Digital-first. Roster: Sevdaliza, bbno$, Zhu, Blackbear, Julia Cole. NOT breakrecords.co"
B - Financing,Snafu Records,snafurecords.com,linkedin.com/company/snafu-records,Royalty advance $10k-$2M (keep masters; Snafu takes stake),"$8k-$2M/yr streaming royalties",All; indie / AI-discovered,Yes,Ankit Desai (Founder/CEO),"SEED. Pophouse-backed. Partners: Symphonic, OpenWav. Keep-your-masters financing."
A - Services Label,Kurate Music,kuratemusic.com,linkedin.com/company/kurate-music,License + distribution (digital label),Small,Digital / electronic,Maybe,"Pull directors from UK Companies House #12781284",SEED. UK / Sheffield. Smaller / less public. Verify deal structure before pitch.
A - Services Label,AWAL,awal.com,linkedin.com/company/awal,Services / distribution deal (retain ownership),Mid (selective),All,Maybe,A&R / Label Partnerships team,Sony-owned. The archetype keep-your-masters model. Selective intake.
A - Services Label,UnitedMasters,unitedmasters.com,linkedin.com/company/unitedmasters,Distribution + Select advances (keep ownership),Open + invite Select tier,Hip-hop / R&B / internet,Yes,Select / A&R team,Brand-sync angle (NBA etc.). Advances on Select tier.
A - Services Label,Stem,stem.is,linkedin.com/company/stem,Distribution + Scale advances + splits,Invite tier for advances,Indie / hip-hop,Yes,Jeff Stempeck (VP A&R & Label Partnerships - ex-SoundOn),Concord-owned. Splits + advances.
A - Services Label,EMPIRE,empi.re,linkedin.com/company/empire-distribution,Distribution + label deals + select buyouts,Small-mid,Hip-hop / R&B / Latin / Africa / EDM,Yes,Ghazi Shami (Founder/CEO); Tina Davis (EVP A&R),Highly indie-friendly. Owns Dirtybird (EDM).
A - Services Label,ONErpm,onerpm.com,linkedin.com/company/onerpm,Distribution + label services + advances,Open,Latin / hip-hop / global,Yes,Label services / A&R team,Strong Latin America / Brazil.
A - Services Label,Symphonic Distribution,symphonic.com,linkedin.com/company/symphonic-distribution,Distribution + advances (Snafu-powered) + sync,Open,All; indie / dance / hip-hop,Yes,A&R / Label Relations team,Snafu partner (Aug 2025). Symphonic NEXT = catalog arm.
A - Services Label,Venice Music,venice.tech,linkedin.com/company/venicemusic,Distribution + label services,Mid,All,Maybe,Troy Carter (Co-founder),Artist services / keep ownership.
A - Services Label,Vydia (gamma.),gamma.com,linkedin.com/company/vydia,Distribution + label deals (invite-only),Invite-only,Hip-hop / Latin,Yes,A&R / partnerships team,Under Gamma (Larry Jackson). Powers Vitalize Records.
A - Services Label,Foundation Media,foundation-media.com,linkedin.com/company/foundation-media,Label services + distribution + monetization,Open,Electronic / indie,Maybe,Label services team,~20 yrs experience. Digital/electronic lean.
A - Services Label,Nettwerk Music Group,nettwerk.com,linkedin.com/company/nettwerk-music-group,Services / label deals,Mid,Indie / singer-songwriter,Maybe,A&R team,Long-running indie; flexible deal structures.
A - Services Label,Create Music Group,createmusicgroup.com,linkedin.com/company/create-music-group,Services + label deals + advances + buyouts,Small-mid,Pop / EDM / internet / hip-hop,Yes,Jonathan Strauss (CEO); Alexandre Williams,Parent of Broke + Monstercat. Very active.
A+C - Digital Label,SoundOn (TikTok),soundon.global,linkedin.com/company/soundon,Distribution + sub-label + label services,Open,All; viral / internet,Yes,A&R / label partnerships team,TikTok's distro arm. New sub-label tools 2026.
B - Financing,beatBread,beatbread.com,linkedin.com/company/beatbread,Royalty advance $1k-$10M+ (keep masters; term-limited),"~10k+ monthly listeners",All; all distributors,Yes,Peter Sinclair (Co-founder/CEO); John Haller,Smallest minimums. 12+ distributor integrations. After recoup keep 100%.
B - Financing,Sound Royalties,soundroyalties.com,linkedin.com/company/sound-royalties,Royalty financing (no copyright transfer),"$3k-$20M+",Songwriters / producers / indie labels,Yes,Alex Heiche (Founder/CEO); Michael Bizenov (President),Record $135M funded 2025. Catalog Sales Support arm.
B - Financing,OpenWav (Artist Bank),openwav.ai,linkedin.com/company/openwav,Advance up to 2x annual streaming (keep rights),"$8k/yr min streaming royalties",All; indie,Yes,Wyclef Jean + Jaeson Ma (Founders),Launched 2026. Snafu-backed. D2C platform.
B - Financing,Horus Music / ChordCash,chordcash.com,linkedin.com/company/horus-music,Advance up to 8x annual streaming (keep recordings/pub/touring/merch/sync),Low,All; UK / global,Yes,Horus Music team,UK-based. Very flexible keep-everything advance.
B - Financing,Indify,indify.io,linkedin.com/company/indify,Investor-artist matchmaking + advances (keep masters),Emerging / early-stage,All,Yes,Shav Garg (CEO); Connor Lawrence; Matthew Pavia,Angel-investor matchmaking. James Blake used it.
B - Financing,RoyFi,royfi.com,linkedin.com/company/royfi,Flat-fee royalty advances (via TuneCore),Low,TuneCore artists,Maybe,Via TuneCore,Embedded fintech. Late 2025.
B - Financing,Royalty Exchange,royaltyexchange.com,linkedin.com/company/royalty-exchange,Marketplace auctions + advances,Very low (low thousands+),All royalty types,Yes,Antony Bruno (President),Listing/auction model (not direct). $190M+ transacted.
B - Financing,SongVest,songvest.com,linkedin.com/company/songvest,Advances + fractional + direct sales,Low,All,Yes,Sean Peace (CEO); Xavier Warner (VP Catalog Acquisitions),No-commission direct sales + 5-yr advances.
B - Financing,Duetti,duetti.co,linkedin.com/company/duetti,Master buyouts + partial / finance deals,Very small ($1k+/mo),All; hip-hop / Latin / internet,Yes,Lior Tibon (COO); Christopher Nolte,Mostly buyouts but does partial/finance. NOTE .co not .com
C - Digital Label,Homemade Projects,homemade.lat,linkedin.com/company/homemade-projects,Digital marketing + JV label (keep ownership),Small-mid,Hip-hop / Gen-Z / internet,Yes,A&R / marketing team,Bought by 10K Projects 2022. Travis Scott / Metro Boomin campaigns. VERIFY domain.
C - Digital Label,10K Projects,10kprojects.com,linkedin.com/company/10k-projects,Label / distribution deals,Mid,Hip-hop / pop / digital-native,Maybe,A&R team,Now WMG-owned. Less indie now. Owns Homemade.
C - Digital Label,Vitalize Records,vitalizeprojects.com,linkedin.com/company/vitalize-projects,Label + management (distribution via Vydia),Small,All,Maybe,Vitalize Projects team,Launched May 2026. Artist development from ground up. VERIFY domain.
C - Digital Label,Against the Grain (ATG),againstthegrain.com,linkedin.com/company/against-the-grain,Digital marketing + management,Small-mid,Hip-hop / internet,Yes,Omid Noori (Founder),Digital-marketing + management. VERIFY domain.
D - Creator License,NCS (NoCopyrightSounds),ncs.io,linkedin.com/company/nocopyrightsounds,Royalty-free creator-license (releases artist tracks),Open,Electronic / EDM,Maybe,Billy Woodford (Founder); A&R team,UK. Licenses OUT to creators. 500B+ plays. Different counterparty.
D - Creator License,Monstercat,monstercat.com,linkedin.com/company/monstercat,Label + creator licenses (Gold),Open submissions,Electronic / EDM,Maybe,A&R team,Create Music Group-owned. Creator-license + artist releases.
D - Creator License,Epidemic Sound,epidemicsound.com,linkedin.com/company/epidemic-sound,Owns catalog; subscription license to creators; commissions artists,By invitation,All; production-style,Maybe,Music team / A&R,Owns 100% of catalog. Signs/commissions producers. Different model.
D - Creator License,Artlist,artlist.io,linkedin.com/company/artlist-io,Subscription creator-license,By invitation,All; production-style,Maybe,Artist relations team,Subscription license to creators. Selective artist intake.
E - Sync,Position Music,positionmusic.com,linkedin.com/company/position-music,Sync agency + publishing + label,Mid,All; trailers / TV / film,Maybe,Creative / sync team,Major sync agency. WARNING: frequent impersonation scams - verify inbound.
E - Sync,Songtradr,songtradr.com,linkedin.com/company/songtradr,Sync marketplace + licensing,Open,All,Yes,Paul Wiltshire (CEO),Owns MassiveMusic. Free tier ~60% of fees.
E - Sync,Musicbed,musicbed.com,linkedin.com/company/musicbed,Curated sync licensing,Curated/selective,Indie / cinematic,Maybe,A&R / curation team,~10k licenses/month. No AI submissions.
E - Sync,Marmoset,marmosetmusic.com,linkedin.com/company/marmoset-music,Sync agency (~50/50 splits),Indie-friendly,Indie / curated,Yes,A&R / creative team,Indie-friendly. Well-curated.
E - Sync,Audiosocket,audiosocket.com,linkedin.com/company/audiosocket,Sync licensing library,Open,Indie,Yes,Licensing team,Indie sync library.
E - Sync,Audio Network,audionetwork.com,linkedin.com/company/audio-network,Production music / sync,Open,Production music,Maybe,A&R team,Production music + sync.
E - Sync,Pump Audio,pumpaudio.com,linkedin.com/company/pump-audio,Indie sync placements,Open,Indie,Yes,Licensing team,Indie sync platform.
E - Sync,Catalog (marketplace),dmy.co,linkedin.com/company/catalog,Curated sync marketplace (indie-label coalition),Coalition / curated,Indie labels,Maybe,Catalog team,30k+ songs from indie-label coalition (!K7, Beggars, Domino, etc.)
